ID,SubscriptionId,BillingStartDate,BillingEndDate,Status,PaymentGatewayStatus,Amount
34,8,2025-01-08 00:00:00.000,2025-03-04 04:02:28.810,Cancelled,Success,11.00
35,11,2025-01-08 00:00:00.000,2025-01-08 00:00:00.000,Active,Success,11.00
38,15,2025-01-11 00:00:00.000,2025-01-11 00:00:00.000,Active,,11.00
39,17,2025-01-15 00:00:00.000,2025-01-21 00:00:00.000,Complete,,16.00
40,22,2025-01-11 00:00:00.000,2025-01-11 00:00:00.000,Active,Success,11.00
41,32,2025-01-17 00:00:00.000,2025-02-16 00:00:00.000,Complete,Success,40.00
42,33,2025-01-17 00:00:00.000,2025-01-23 00:00:00.000,Complete,,16.00
43,34,2025-01-17 00:00:00.000,2025-01-17 00:00:00.000,Active,Success,20.00
44,35,2025-01-17 00:00:00.000,2025-02-25 09:54:29.637,Cancelled,Success,23.00
45,36,2025-01-20 00:00:00.000,2025-02-19 00:00:00.000,Complete,Success,17.00
46,37,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
47,38,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
48,39,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
49,40,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
50,41,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
51,42,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
52,43,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
53,44,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,Active,,20.00
54,47,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Active,,30.00
55,56,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,47000940.00
56,54,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Complete,,25.00
57,55,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Complete,,25.00
58,58,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,17.00
59,61,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,47000940.00
60,59,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,17.00
61,60,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,47000940.00
62,71,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Active,,0.00
63,62,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,17.00
64,63,2025-01-28 00:00:00.000,2025-03-27 00:00:00.000,Complete,Success,0.00
65,67,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Complete,,25.00
66,65,2025-01-28 00:00:00.000,2025-03-27 00:00:00.000,Complete,Success,0.00
67,64,2025-01-28 00:00:00.000,2025-03-27 00:00:00.000,Complete,Success,0.00
68,66,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Complete,,25.00
69,73,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Active,,21.00
70,74,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,Success,0.00
71,75,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,47000940.00
72,70,2025-01-28 00:00:00.000,2025-03-27 00:00:00.000,Complete,Success,0.00
73,72,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Complete,Success,20.00
74,76,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,Success,0.00
75,77,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,Complete,,21.00
76,78,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,1000020.00
77,79,2025-01-28 00:00:00.000,2025-02-27 00:00:00.000,Complete,,93999080.00
78,84,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,11.00
79,82,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,,15.00
80,83,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,,15.00
81,80,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,,15.00
82,81,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,,15.00
83,77,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,,21.00
84,85,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,21.00
85,86,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,21.00
86,87,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,27.00
87,90,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,30.00
88,89,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,30.00
89,88,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,30.00
90,91,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,0.00
91,92,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,0.00
92,93,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,380.20
93,94,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,0.00
94,95,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,Success,772.00
95,96,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,Complete,,20.00
96,100,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,,1.00
97,98,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,80.00
98,99,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,12.00
99,85,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,21.00
100,93,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,80.20
101,97,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,,21.00
102,86,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,21.00
103,101,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,0.00
104,102,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,100.20
105,103,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,100.20
106,104,2025-01-30 00:00:00.000,2025-01-30 00:00:00.000,Complete,Success,0.00
107,105,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
108,106,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
109,107,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
110,108,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
111,110,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
112,111,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
113,109,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
114,104,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,0.00
115,97,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,,21.00
116,116,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,0.00
117,117,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,0.00
118,118,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,0.00
119,119,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,120.00
120,120,2025-01-31 00:00:00.000,2025-03-30 00:00:00.000,Complete,,6.00
121,122,2025-01-31 00:00:00.000,2025-03-30 00:00:00.000,Complete,,6.00
122,121,2025-01-31 00:00:00.000,2025-03-30 00:00:00.000,Complete,,6.00
123,124,2025-01-31 00:00:00.000,2025-02-27 00:00:00.000,Complete,,0.00
124,114,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,21.00
125,113,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,80.20
126,123,2025-01-31 00:00:00.000,2025-02-27 00:00:00.000,Complete,Success,0.00
127,112,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,80.20
128,115,2025-01-31 00:00:00.000,2025-01-31 00:00:00.000,Complete,Success,21.00
129,26,2025-02-01 00:00:00.000,2025-02-01 00:00:00.000,Complete,Success,30.00
130,115,2025-02-01 00:00:00.000,2025-02-01 00:00:00.000,Complete,Success,21.00
131,114,2025-02-01 00:00:00.000,2025-02-01 00:00:00.000,Complete,Success,21.00
132,125,2025-02-03 00:00:00.000,2025-02-03 00:00:00.000,Complete,Success,0.00
133,126,2025-02-03 00:00:00.000,2025-02-03 00:00:00.000,Complete,,0.00
134,127,2025-02-03 00:00:00.000,2025-02-03 00:00:00.000,Complete,,0.00
135,130,2025-02-03 00:00:00.000,2025-03-02 00:00:00.000,Complete,,295.68
136,131,2025-02-03 00:00:00.000,2025-02-03 00:00:00.000,Complete,,0.00
137,132,2025-02-03 00:00:00.000,2025-02-03 00:00:00.000,Complete,,0.00
138,133,2025-02-03 00:00:00.000,2025-03-02 00:00:00.000,Complete,,295.68
139,128,2025-01-30 00:00:00.000,2025-02-27 00:00:00.000,Complete,,295.68
140,134,2025-02-03 00:00:00.000,2025-03-02 00:00:00.000,Complete,,295.68
141,135,2025-02-03 00:00:00.000,2025-03-02 00:00:00.000,Complete,,295.68
142,136,2025-02-03 00:00:00.000,2025-03-02 00:00:00.000,Complete,,295.68
143,125,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,Success,0.00
144,131,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,,0.00
145,127,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,,0.00
146,132,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,,0.00
147,137,2025-02-04 00:00:00.000,2025-03-03 00:00:00.000,Complete,,0.00
148,138,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,,0.00
149,139,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,,0.00
150,140,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,Complete,,0.00
151,141,2025-02-04 00:00:00.000,2025-03-03 00:00:00.000,Complete,,0.00
152,138,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
153,131,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
154,139,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
155,143,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,Success,0.00
156,140,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
157,127,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
158,132,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
159,144,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,Success,45.00
160,145,2025-02-05 00:00:00.000,2025-03-04 00:00:00.000,Complete,,0.00
163,146,2024-12-01 00:00:00.000,2024-12-31 00:00:00.000,Complete,,65.00
164,146,2025-01-01 00:00:00.000,2025-01-31 00:00:00.000,Complete,,975.00
165,147,2025-01-01 00:00:00.000,2025-01-31 00:00:00.000,Complete,,975.00
166,147,2025-02-01 00:00:00.000,2025-02-28 00:00:00.000,Complete,,1300.00
167,148,2025-01-01 00:00:00.000,2025-01-31 00:00:00.000,Complete,,0.00
168,146,2025-02-01 00:00:00.000,2025-02-28 00:00:00.000,Complete,,1300.00
169,149,2025-02-05 00:00:00.000,2025-03-04 00:00:00.000,Complete,Success,0.00
170,148,2025-02-01 00:00:00.000,2025-02-28 00:00:00.000,Complete,,1300.00
171,150,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
172,151,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
173,152,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
174,153,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,,0.00
175,154,2025-02-05 00:00:00.000,2025-02-05 00:00:00.000,Complete,Success,0.00
176,155,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,Success,40.00
177,131,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
178,151,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
179,153,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
180,127,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
181,154,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,Success,0.00
182,143,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,Success,0.00
183,132,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
184,142,2025-02-06 00:00:00.000,2025-03-05 00:00:00.000,Complete,,0.00
185,152,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
186,156,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,,0.00
187,157,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,Success,0.00
188,158,2025-02-06 00:00:00.000,2025-02-06 00:00:00.000,Complete,Success,0.00
189,158,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,Complete,Success,0.00
190,127,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,Complete,,0.00
191,132,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,Complete,,0.00
192,131,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,Complete,,0.00
193,157,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,Complete,Success,0.00
194,159,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,Complete,Success,0.00
195,160,2025-02-07 00:00:00.000,2026-02-06 00:00:00.000,Active,,0.00
196,161,2025-02-08 00:00:00.000,2025-02-08 00:00:00.000,Complete,Success,0.00
197,162,2025-02-08 00:00:00.000,2025-02-08 00:00:00.000,Complete,Success,0.00
198,159,2025-02-08 00:00:00.000,2025-02-08 00:00:00.000,Complete,Success,0.00
199,161,2025-02-09 00:00:00.000,2025-02-09 00:00:00.000,Complete,Success,0.00
200,162,2025-02-09 00:00:00.000,2025-02-09 00:00:00.000,Complete,Success,0.00
201,23,2025-02-10 00:00:00.000,2025-03-09 00:00:00.000,Complete,Success,10.00
202,163,2024-12-01 00:00:00.000,2024-12-31 00:00:00.000,Complete,,0.00
203,164,2024-12-01 00:00:00.000,2024-12-31 00:00:00.000,Complete,,315.00
204,163,2025-01-01 00:00:00.000,2025-01-31 00:00:00.000,Complete,,0.00
205,164,2025-01-01 00:00:00.000,2025-01-31 00:00:00.000,Complete,,441.00
206,163,2025-02-01 00:00:00.000,2025-02-28 00:00:00.000,Complete,,0.00
207,164,2025-02-01 00:00:00.000,2025-02-28 00:00:00.000,Complete,,441.00
208,165,2025-02-12 00:00:00.000,2025-03-11 00:00:00.000,Complete,Success,0.00
209,168,2025-02-14 00:00:00.000,2025-03-13 00:00:00.000,Complete,Success,0.00
210,169,2025-02-14 00:00:00.000,2025-03-13 00:00:00.000,Complete,Success,0.00
211,170,2025-02-14 00:00:00.000,2025-03-13 00:00:00.000,Complete,Success,0.00
212,171,2025-02-14 00:00:00.000,2025-03-13 00:00:00.000,Complete,Success,0.00
213,166,2025-02-12 00:00:00.000,2025-03-11 00:00:00.000,Complete,Success,17.00
214,167,2025-02-14 00:00:00.000,2025-03-13 00:00:00.000,Complete,Success,0.00
215,172,2025-02-17 00:00:00.000,2025-03-16 00:00:00.000,Complete,Success,11.20
216,173,2025-02-17 00:00:00.000,2025-02-17 00:00:00.000,Complete,,246.00
217,174,2025-02-17 00:00:00.000,2025-02-17 00:00:00.000,Complete,,246.00
218,175,2025-02-18 00:00:00.000,2025-03-17 00:00:00.000,Complete,Success,10.00
219,178,2025-02-10 00:00:00.000,2025-03-09 00:00:00.000,Complete,,1000000.00
220,178,2025-03-10 00:00:00.000,2025-04-09 00:00:00.000,Complete,,1000000.00
221,179,2025-02-10 00:00:00.000,2025-02-16 00:00:00.000,Future,,30.00
222,177,2025-02-01 00:00:00.000,2025-02-28 00:00:00.000,Complete,,15.00
223,180,2025-02-13 00:00:00.000,2025-02-19 00:00:00.000,Complete,,30.00
224,181,2025-02-18 00:00:00.000,2025-02-24 00:00:00.000,Complete,Success,0.00
225,182,2025-02-18 00:00:00.000,2025-03-17 00:00:00.000,Complete,Success,17.00
226,183,2025-02-18 00:00:00.000,2025-02-18 00:00:00.000,Complete,,246.00
227,184,2025-02-18 00:00:00.000,2025-02-18 00:00:00.000,Complete,,246.00
228,185,2025-02-19 00:00:00.000,2025-02-19 00:00:00.000,Complete,Success,30.00
229,185,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,Success,20.00
230,186,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,Success,20.00
231,188,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,Success,100.20
232,189,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,Success,28.00
233,190,2025-02-20 00:00:00.000,2025-02-26 00:00:00.000,Complete,Success,16.00
234,192,2025-02-20 00:00:00.000,2025-04-19 00:00:00.000,Complete,,0.00
235,191,2025-02-20 00:00:00.000,2025-04-19 00:00:00.000,Complete,,0.00
236,198,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,Success,30.00
237,199,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,,112.00
238,200,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,Complete,Success,28.00
239,231,2025-02-20 00:00:00.000,2025-03-19 00:00:00.000,Complete,,0.00
240,232,2025-02-20 00:00:00.000,2025-03-19 00:00:00.000,Complete,Success,17.00
241,237,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,80.20
242,198,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,20.00
243,236,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,20.00
244,235,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,28.00
245,234,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,28.00
246,233,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,11.00
247,247,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
248,248,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
249,250,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
250,249,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
251,251,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
252,252,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
253,263,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
254,265,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
255,264,2025-02-21 00:00:00.000,2025-04-20 00:00:00.000,Complete,,0.00
256,262,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,30.00
257,266,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,Success,0.00
258,288,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
259,290,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,17.00
260,289,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,Success,17.00
261,330,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,17.00
262,346,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,17.00
263,363,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,17.00
264,630,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
265,631,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
266,628,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
267,629,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
268,750,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,17.00
269,922,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
270,923,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
271,921,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
272,924,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
273,925,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
274,926,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
275,927,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
276,928,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
277,930,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
278,929,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
279,931,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
280,932,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
281,936,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
282,934,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
283,933,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
284,935,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
285,937,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
286,939,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
287,940,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
288,938,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
289,941,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
290,942,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
291,943,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
292,944,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
293,945,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
294,946,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
295,947,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
296,948,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
297,950,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
298,949,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
299,952,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
300,951,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
301,954,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
302,953,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
303,955,2025-02-21 00:00:00.000,2025-02-21 00:00:00.000,Complete,Success,30.00
304,994,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
305,993,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
306,1072,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
307,1113,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
308,1114,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
309,1117,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
310,1116,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
311,1115,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
312,1118,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
313,1121,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
314,1119,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
315,1120,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
316,1122,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
317,1125,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
318,1123,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
319,1126,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
320,1124,2025-02-21 00:00:00.000,2025-03-20 00:00:00.000,Complete,,0.00
