SubscriptionId,Number,PlanID,CustomerID,Status,StartDate,NextBillingAt,RenewalDate,EndDate,IsAutoCollection,CreatedOn,EndAction,TotalTermAmount
74,test-plan-74,37,1,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-03-27 00:00:00.000,1,2025-01-28 09:47:41.520,1,0.00
75,bi-1w-bc-1-ea-ex-pm-v-75,57,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 09:50:42.680,3,47000940.00
76,azxtst-76,56,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-03-27 00:00:00.000,1,2025-01-28 10:05:04.980,1,0.00
77,imagecomp-77,53,119,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,0,2025-01-28 10:05:42.320,1,42.00
78,bi-1w-bc-1-ea-ex-pm-v-78,57,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 10:36:30.873,3,1000020.00
79,bi-1w-bc-1-ea-ex-pm-v-79,57,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 11:56:38.323,3,93999080.00
80,kylestairstep-66,54,18,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-29 00:05:18.533,3,15.00
81,kylestairstep-54,54,18,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-29 00:05:18.847,3,15.00
82,kylestairstep-67,54,18,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-29 00:05:18.877,3,15.00
83,kylestairstep-55,54,18,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-29 00:05:18.903,3,15.00
84,imaget-72,9,1,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 00:05:18.930,3,11.00
85,imagerequestor-85,59,120,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-02-01 00:00:00.000,1,2025-01-29 02:48:32.710,1,42.00
86,imagerequestor-86,59,120,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-02-01 00:00:00.000,1,2025-01-29 02:49:22.873,1,42.00
87,kylestairstep1d-1b-87,60,121,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,1,2025-01-29 03:14:35.433,1,27.00
88,sp-expire-with-1bc-88,27,122,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 03:29:04.073,3,30.00
89,sp-expire-with-1bc-89,27,15,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 03:30:30.790,3,30.00
90,sp-expire-with-1bc-90,27,15,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 03:31:53.757,3,30.00
91,imagecomp-0-91,61,15,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 04:50:17.453,3,0.00
92,imagecomp-0-92,61,124,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 05:04:18.327,3,0.00
93,kyletiered-93,62,121,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,1,2025-01-29 05:15:28.753,3,460.40
94,imagecomp-0-94,61,125,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-29 05:17:06.443,3,0.00
95,kyleflat-fee-95,63,121,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,1,2025-01-29 08:45:54.243,1,772.00
96,imaget-96,9,15,Expired,2025-01-29 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,0,2025-01-29 09:11:09.167,1,20.00
97,imagecomp-77,53,119,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,0,2025-01-30 00:05:17.470,3,42.00
98,kyleflat-fee-95,63,121,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,1,2025-01-30 00:05:17.860,3,80.00
99,kylestairstep1d-1b-87,60,121,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,1,2025-01-30 00:05:17.890,3,12.00
100,imaget-96,9,15,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,0,2025-01-30 00:05:17.910,3,1.00
101,imagecomp-0-101,61,111,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-30 00:00:00.000,1,2025-01-30 05:37:32.677,3,0.00
102,kyleflat-fee-102,63,13,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-30 07:04:04.040,1,100.20
103,kyleflat-fee-103,63,13,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-30 07:18:26.290,1,100.20
104,kyletiered-104,62,1,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-30 09:24:06.107,3,0.00
105,bi-1m-bt-1-ea-ex-pm-ff-105,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:00:36.443,1,295.68
106,bi-1m-bt-1-ea-ex-pm-ff-106,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:00:42.297,1,295.68
107,bi-1m-bt-1-ea-ex-pm-ff-107,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:04:17.257,1,295.68
108,bi-1m-bt-1-ea-ex-pm-ff-108,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:04:19.107,1,295.68
109,bi-1m-bt-1-ea-ex-pm-ff-109,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:17:08.080,1,295.68
110,bi-1m-bt-1-ea-ex-pm-ff-110,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:18:01.870,1,295.68
111,bi-1m-bt-1-ea-ex-pm-ff-111,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-01-30 10:18:20.997,1,295.68
112,kyleflat-fee-102,63,13,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-31 00:05:17.447,3,80.20
113,kyleflat-fee-103,63,13,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-31 00:05:17.487,3,80.20
114,imagerequestor-85,59,120,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-02-01 00:00:00.000,1,2025-01-31 00:05:17.517,3,42.00
115,imagerequestor-86,59,120,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-02-01 00:00:00.000,1,2025-01-31 00:05:17.543,3,42.00
116,imagecomp-0-116,61,1,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-31 03:18:19.330,3,0.00
117,imagecomp-0-117,61,1,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-31 03:26:34.297,3,0.00
118,imagecomp-0-118,61,1,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-31 03:31:46.833,3,0.00
119,imagecomp-0-119,61,1,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-01-31 00:00:00.000,1,2025-01-31 03:52:07.627,3,120.00
120,cb-group-check-120,6,62,Active,2025-01-31 00:00:00.000,NULL,2025-07-31 00:00:00.000,2026-01-30 00:00:00.000,0,2025-01-31 04:11:54.873,1,18.00
121,cb-group-check-121,6,63,Active,2025-01-31 00:00:00.000,NULL,2025-07-31 00:00:00.000,2026-01-30 00:00:00.000,0,2025-01-31 04:11:54.863,1,18.00
122,cb-group-check-122,6,59,Active,2025-01-31 00:00:00.000,NULL,2025-07-31 00:00:00.000,2026-01-30 00:00:00.000,0,2025-01-31 04:11:54.893,1,18.00
123,ab--1-bc-ap-on-pi-on-123,41,14,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,1,2025-01-31 04:16:05.150,3,0.00
124,ab--1-bc-ap-on-pi-on-124,41,14,Expired,2025-01-31 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-31 04:16:16.133,3,0.00
125,imagerequestor-125,59,1,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,1,2025-02-03 08:26:39.160,1,0.00
126,shelby-comp-126,81,98,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-02-03 00:00:00.000,0,2025-02-03 09:09:42.550,3,0.00
127,shelby-comp-127,81,98,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-02-07 00:00:00.000,0,2025-02-03 09:10:26.327,3,0.00
128,bi-1m-bt-1-ea-ex-pm-ff-128,74,127,Expired,2025-01-30 00:00:00.000,NULL,NULL,2025-03-29 00:00:00.000,0,2025-02-03 09:24:11.633,1,295.68
129,kylecompplan-129,82,129,Expired,2025-03-02 00:00:00.000,NULL,NULL,2025-03-05 00:00:00.000,0,2025-02-03 09:24:55.600,1,0.00
130,bi-1m-bt-1-ea-ex-pm-ff-130,74,127,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-04-02 00:00:00.000,0,2025-02-03 09:25:04.000,1,295.68
131,shelby-comp-131,81,102,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-02-07 00:00:00.000,0,2025-02-03 09:25:23.127,3,0.00
132,shelby-comp-132,81,104,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-02-07 00:00:00.000,0,2025-02-03 09:25:23.133,3,0.00
133,bi-1m-bt-1-ea-ex-pm-ff-133,74,127,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-04-02 00:00:00.000,0,2025-02-03 09:32:36.727,1,295.68
134,bi-1m-bt-1-ea-ex-pm-ff-134,74,127,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-04-02 00:00:00.000,0,2025-02-03 09:37:29.757,1,295.68
135,bi-1m-bt-1-ea-ex-pm-ff-135,74,127,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-04-02 00:00:00.000,0,2025-02-03 09:42:36.030,1,295.68
136,bi-1m-bt-1-ea-ex-pm-ff-136,74,127,Expired,2025-02-03 00:00:00.000,NULL,NULL,2025-04-02 00:00:00.000,0,2025-02-03 09:47:47.840,1,295.68
137,ab--1-bc-ap-on-pi-off-137,40,87,Expired,2025-02-04 00:00:00.000,NULL,NULL,2025-03-03 00:00:00.000,0,2025-02-04 03:44:18.553,3,0.00
138,kyle-req-comp-138,91,130,Expired,2025-02-04 00:00:00.000,NULL,NULL,2025-02-05 00:00:00.000,0,2025-02-04 05:46:29.970,3,0.00
139,kyle-req-comp-139,91,130,Expired,2025-02-04 00:00:00.000,NULL,NULL,2025-02-05 00:00:00.000,0,2025-02-04 05:48:52.730,3,0.00
140,kyle-req-comp-140,91,130,Expired,2025-02-04 00:00:00.000,NULL,NULL,2025-02-05 00:00:00.000,0,2025-02-04 05:51:26.250,3,0.00
141,ab--1-bc-ap-on-pi-off-141,40,1,Expired,2025-02-04 00:00:00.000,NULL,NULL,2025-03-03 00:00:00.000,0,2025-02-04 08:46:32.467,3,0.00
142,ab--1-bc-ap-on-pi-off-142,40,1,Expired,2025-02-06 00:00:00.000,NULL,NULL,2025-03-05 00:00:00.000,0,2025-02-04 08:48:06.327,3,0.00
143,imagerequestor-125,59,1,Expired,2025-02-05 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,1,2025-02-05 00:05:19.150,3,0.00
144,kylestairstep1d-1b-144,60,140,Expired,2025-02-05 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,1,2025-02-05 04:52:22.747,1,45.00
145,comp-rate-145,78,120,Expired,2025-02-05 00:00:00.000,NULL,NULL,2025-04-04 00:00:00.000,0,2025-02-05 05:44:45.840,1,0.00
146,metered-billing---per-unit-146,93,139,Active,2024-12-01 00:00:00.000,2025-07-01 00:00:00.000,NULL,9999-12-31 00:00:00.000,0,2025-02-05 06:11:45.297,2,7540.00
147,metered-billing---per-unit-147,93,139,Active,2025-01-01 00:00:00.000,2025-07-01 00:00:00.000,NULL,9999-12-31 00:00:00.000,0,2025-02-05 07:23:32.697,2,6175.00
148,metered-billing---per-unit-148,93,139,Active,2025-01-01 00:00:00.000,2025-07-01 00:00:00.000,NULL,9999-12-31 00:00:00.000,0,2025-02-05 07:33:31.830,2,5200.00
149,ab--1-bc-ap-on-pi-off-149,40,1,Expired,2025-02-05 00:00:00.000,NULL,NULL,2025-03-04 00:00:00.000,1,2025-02-05 08:06:36.700,3,0.00
150,kylecompplan-150,82,130,Renewed,2025-02-05 00:00:00.000,NULL,NULL,2025-05-07 00:00:00.000,0,2025-02-05 10:37:52.133,1,0.00
151,kyle-req-comp-151,91,121,Renewed,2025-02-05 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,0,2025-02-05 11:44:28.550,3,0.00
152,kyle-req-comp-152,91,121,Renewed,2025-02-05 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,0,2025-02-05 12:05:48.293,3,0.00
153,kyle-req-comp-153,91,144,Expired,2025-02-05 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,0,2025-02-05 12:08:04.610,3,0.00
154,imagecomp-154,53,146,Expired,2025-02-05 00:00:00.000,NULL,NULL,2025-02-08 00:00:00.000,1,2025-02-05 12:54:36.343,1,0.00
155,kylestairstep1d-1b-144,60,140,Expired,2025-02-06 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,1,2025-02-06 00:05:18.450,3,40.00
156,kylecompplan-150,82,130,Expired,2025-02-06 00:00:00.000,NULL,NULL,2025-02-06 00:00:00.000,0,2025-02-06 00:05:18.940,3,0.00
157,imagecomp-157,53,147,Expired,2025-02-06 00:00:00.000,NULL,NULL,2025-02-09 00:00:00.000,1,2025-02-06 02:50:47.543,1,0.00
158,imagecomp-158,53,148,Expired,2025-02-06 00:00:00.000,NULL,NULL,2025-02-09 00:00:00.000,1,2025-02-06 03:08:37.063,1,0.00
159,imagecomp-154,53,146,Expired,2025-02-07 00:00:00.000,NULL,NULL,2025-02-08 00:00:00.000,1,2025-02-07 00:05:18.377,3,0.00
160,tp-news-1-year-160,95,149,NonRenew,2025-02-07 00:00:00.000,NULL,NULL,2026-02-06 00:00:00.000,0,2025-02-07 08:52:08.977,3,0.00
161,imagecomp-158,53,148,Expired,2025-02-08 00:00:00.000,NULL,NULL,2025-02-09 00:00:00.000,1,2025-02-08 00:05:17.580,3,0.00
